

CUADRO DE REPLANTEO
	X	Y
1	727194.652	4324249.891
2	727193.528	4324240.558
3	727224.624	4324236.815
4	727225.747	4324246.147
5	727185.451	4324256.790
6	727184.700	4324236.787
7	727234.624	4324229.315
8	727237.242	4324251.058


ALETA 1
	X	Y
A	727193.602	4324248.491
B	727196.632	4324252.531
C	727191.671	4324256.251
D	727190.921	4324255.251
E	727186.681	4324258.430
F	727184.731	4324255.830
G	727188.972	4324252.651
H	727188.642	4324252.211


ALETA 2
	X	Y
A	727192.841	4324242.168
B	727194.825	4324237.524
C	727189.491	4324235.245
D	727189.000	4324236.395
E	727185.506	4324234.902
F	727184.229	4324237.890
G	727187.723	4324239.383
H	727187.507	4324239.889


ALETA 3
	X	Y
A	727225.613	4324238.135
B	727222.884	4324234.495
C	727227.684	4324230.895
D	727228.194	4324231.575
E	727233.394	4324227.675
F	727235.344	4324230.276
G	727230.144	4324234.175
H	727230.414	4324234.535


ALETA 4
	X	Y
A	727226.435	4324244.538
B	727224.451	4324249.182
C	727230.060	4324251.579
D	727230.551	4324250.429
E	727236.437	4324252.944
F	727237.713	4324249.955
G	727231.828	4324247.440
H	727232.044	4324246.935
